river,basin,total_length_km,urban_length_km,setback_m,primary_threat,enforcement_body,source
Nairobi River,Athi,65,25,30,Industrial & informal settlement encroachment,WRMA / NCC,WRMA Athi Basin Profile
Mathare River,Athi,15,12,30,Informal settlement — entire riparian corridor occupied,WRMA / NCC,NCC Drainage Master Plan 2020
Ngong River,Athi,80,35,30,Dense informal settlement; drainage system blockage,WRMA / NCC,NCC Drainage Master Plan 2020
Mukuru River,Athi,12,12,30,Industrial effluent + informal settlement,WRMA / NEMA / NCC,Mukuru Special Planning Area 2021
Tana River,Tana,1014,45,30,Agricultural encroachment; Garissa urban expansion,WRMA / NEMA,WRMA Tana Basin Profile
Nzoia River,Lake Victoria,331,20,30,Agricultural encroachment; seasonal flood plains settled,WRMA / NEMA,WRMA Lake Victoria South Basin Profile
Yala River,Lake Victoria,250,15,30,Drainage alteration for sugarcane farming,WRMA,WRMA Lake Victoria South Basin Profile
Njoro River,Rift Valley,60,18,30,Agricultural runoff + urban expansion Nakuru,WRMA Rift Valley,WRMA Rift Valley Basin Profile
Athi River,Athi,390,60,30,Industrial discharge + peri-urban expansion,WRMA / NEMA,WRMA Athi Basin Profile
Chania River,Tana,55,12,30,Commercial development in Nyeri riparian zone,WRMA Tana,WRMA Tana Basin Profile
